Sales,Stock Remaining (%),Avg_consumption Rate (%),Price,AVC,Category,Label
75,0.25,0.67,10.39,5.89,Salad,0
72,0.28,0.99,45.24,22.26,Meat,0
100,0.0,0.96,13.7,6.86,Salad,0
76,0.24,0.68,9.5,4.32,Dessert,0
100,0.0,0.65,38.39,18.26,Meat,0
73,0.27,0.87,30.03,16.63,Meat,0
100,0.0,0.88,9.02,5.0,Dessert,0
92,0.08,0.7,19.27,6.82,Meat,0
100,0.0,0.69,13.06,4.46,Salad,0
95,0.05,0.76,43.34,23.38,Meat,0
87,0.13,0.86,10.63,4.24,Salad,0
50,0.5,0.96,14.61,6.97,Pasta,0
100,0.0,0.79,31.52,13.6,Meat,0
100,0.0,0.83,49.56,28.16,Meat,0
92,0.08,0.91,31.07,11.79,Meat,0
99,0.01,0.66,8.21,3.44,Dessert,0
75,0.25,0.96,8.65,3.52,Dessert,0
82,0.18,0.68,19.22,8.41,Pasta,0
88,0.12,0.73,47.22,19.64,Meat,0
74,0.26,0.7,8.57,2.66,Dessert,0
100,0.0,0.75,21.45,11.01,Pasta,0
67,0.33,0.84,27.67,13.64,Fish,0
100,0.0,0.84,48.4,25.21,Meat,0
86,0.14,0.98,17.55,8.77,Salad,0
74,0.26,0.91,7.5,3.56,Dessert,0
100,0.0,0.86,6.25,2.07,Dessert,0
90,0.1,0.84,28.76,15.62,Fish,0
99,0.01,0.8,15.05,7.9,Salad,0
97,0.03,0.92,18.0,6.85,Salad,0
95,0.05,0.71,22.92,7.93,Pasta,0
84,0.16,0.78,41.17,20.01,Fish,0
100,0.0,0.84,14.67,6.76,Salad,0
98,0.02,0.91,32.46,13.36,Fish,0
85,0.15,0.84,27.68,15.74,Meat,0
100,0.0,0.78,16.56,5.79,Pasta,0
73,0.27,0.92,19.1,10.04,Meat,0
68,0.32,0.82,34.06,13.67,Meat,0
82,0.18,0.89,45.18,26.95,Meat,0
100,0.0,0.75,9.51,4.6,Dessert,0
75,0.25,0.88,15.1,6.45,Salad,0
93,0.07,0.82,24.11,11.01,Meat,0
71,0.29,0.81,22.2,7.82,Pasta,0
64,0.36,0.67,27.07,16.04,Fish,0
100,0.0,0.67,9.28,4.16,Dessert,0
100,0.0,0.88,6.32,3.32,Dessert,0
100,0.0,0.96,8.77,4.65,Dessert,0
74,0.26,0.93,15.62,5.32,Salad,0
100,0.0,0.76,11.8,6.75,Pasta,0
81,0.19,0.87,5.01,2.37,Dessert,0
70,0.3,0.98,11.89,7.13,Pasta,0
96,0.04,0.67,28.35,10.85,Meat,0
100,0.0,0.67,27.83,10.67,Fish,0
100,0.0,0.96,10.69,3.83,Salad,0
66,0.34,0.76,17.0,7.57,Fish,0
82,0.18,0.67,26.99,8.31,Fish,0
94,0.06,0.86,23.07,6.93,Fish,0
76,0.24,0.94,6.99,3.71,Dessert,0
86,0.14,0.93,30.13,17.56,Meat,0
100,0.0,0.89,8.49,4.67,Dessert,0
80,0.2,0.78,12.74,3.97,Salad,0
87,0.13,0.98,21.4,11.21,Pasta,0
77,0.23,0.8,14.11,5.76,Pasta,0
46,0.54,0.93,25.06,8.24,Meat,0
69,0.31,0.81,10.38,4.43,Pasta,0
100,0.0,0.99,5.87,2.95,Dessert,0
66,0.34,0.69,21.17,6.65,Pasta,0
91,0.09,0.74,8.64,5.07,Dessert,0
87,0.13,0.89,5.44,3.23,Dessert,0
81,0.19,0.69,37.61,14.75,Fish,0
100,0.0,0.91,5.79,2.59,Dessert,0
100,0.0,0.72,34.94,12.26,Meat,0
88,0.12,0.85,19.44,9.32,Meat,0
100,0.0,0.69,6.14,2.8,Dessert,0
100,0.0,0.72,7.84,4.64,Dessert,0
81,0.19,0.7,16.26,8.86,Salad,0
100,0.0,0.72,15.18,7.41,Salad,0
83,0.17,0.97,46.18,24.94,Fish,0
79,0.21,0.67,6.07,3.18,Dessert,0
92,0.08,0.8,20.99,10.83,Pasta,0
89,0.11,0.97,16.06,6.65,Meat,0
100,0.0,0.86,16.24,9.53,Pasta,0
83,0.17,0.83,13.19,4.7,Salad,0
89,0.11,0.79,41.48,19.99,Meat,0
96,0.04,0.75,8.75,3.26,Dessert,0
87,0.13,0.89,6.68,3.85,Dessert,0
82,0.18,0.98,33.09,17.3,Fish,0
100,0.0,0.77,17.41,7.38,Salad,0
63,0.37,0.98,17.07,9.86,Salad,0
58,0.42,0.74,8.91,3.05,Dessert,0
76,0.24,0.69,29.28,13.89,Fish,0
76,0.24,0.8,11.93,4.46,Pasta,0
72,0.28,0.74,5.7,3.33,Dessert,0
73,0.27,0.68,6.85,4.05,Dessert,0
100,0.0,0.94,18.64,8.78,Meat,0
99,0.01,0.83,9.0,2.78,Dessert,0
62,0.38,0.84,18.29,10.45,Salad,0
72,0.28,0.69,12.49,5.8,Fish,0
71,0.29,0.83,42.2,23.77,Meat,0
98,0.02,0.98,26.4,9.19,Fish,0
100,0.0,0.85,17.65,9.94,Salad,0
90,0.1,0.87,13.41,4.35,Salad,0
81,0.19,0.99,6.35,2.5,Dessert,0
100,0.0,0.66,16.83,5.96,Pasta,0
80,0.2,0.66,44.65,25.28,Fish,0
73,0.27,0.93,28.93,9.48,Fish,0
83,0.17,0.7,45.45,23.93,Fish,0
100,0.0,0.68,47.43,26.61,Meat,0
93,0.07,0.83,9.83,3.15,Dessert,0
66,0.34,0.78,24.08,11.47,Fish,0
100,0.0,0.87,9.72,4.04,Dessert,0
100,0.0,0.96,11.07,4.28,Salad,0
83,0.17,0.66,29.22,15.23,Meat,0
94,0.06,0.97,6.38,2.69,Dessert,0
83,0.17,0.69,16.46,5.42,Salad,0
99,0.01,0.97,43.9,25.76,Fish,0
69,0.31,0.98,23.99,13.83,Fish,0
91,0.09,0.9,19.23,8.74,Fish,0
69,0.31,0.9,23.52,10.43,Meat,0
65,0.35,0.95,17.3,7.6,Salad,0
100,0.0,0.71,47.4,23.12,Fish,0
100,0.0,0.7,5.39,2.2,Dessert,0
96,0.04,0.7,37.46,20.87,Meat,0
92,0.08,0.8,16.99,9.11,Salad,0
100,0.0,0.7,5.51,1.76,Dessert,0
95,0.05,0.98,13.9,6.97,Salad,0
97,0.03,0.81,16.16,8.69,Salad,0
96,0.04,0.79,26.29,13.94,Meat,0
100,0.0,0.68,14.66,6.91,Pasta,0
84,0.16,0.84,14.94,8.65,Pasta,0
83,0.17,0.96,8.89,2.74,Dessert,0
100,0.0,0.94,16.1,5.26,Salad,0
100,0.0,0.78,46.83,17.61,Meat,0
91,0.09,0.7,29.2,16.39,Meat,0
100,0.0,0.66,18.47,9.11,Pasta,0
80,0.2,0.7,11.63,5.83,Pasta,0
75,0.25,0.92,35.22,18.3,Fish,0
80,0.2,0.94,24.52,7.45,Pasta,0
93,0.07,1.0,8.36,2.81,Dessert,0
83,0.17,0.86,14.98,4.56,Pasta,0
62,0.38,0.99,5.13,2.3,Dessert,0
83,0.17,0.75,38.41,11.64,Meat,0
86,0.14,0.74,10.02,3.54,Salad,0
85,0.15,0.81,46.75,22.84,Fish,0
90,0.1,0.8,8.18,4.25,Dessert,0
62,0.38,0.73,39.84,19.38,Fish,0
86,0.14,0.96,9.93,3.77,Dessert,0
85,0.15,0.69,8.06,3.25,Dessert,0
70,0.3,0.86,6.8,3.27,Dessert,0
100,0.0,0.7,31.55,15.86,Fish,0
88,0.12,0.88,9.51,4.4,Dessert,0
70,0.3,0.68,8.6,4.65,Dessert,0
69,0.31,0.68,18.53,10.12,Fish,0
85,0.15,0.68,17.0,5.59,Pasta,0
100,0.0,0.89,41.33,24.34,Meat,0
88,0.12,0.65,38.21,19.94,Meat,0
84,0.16,0.9,8.73,3.37,Dessert,0
70,0.3,0.87,20.7,9.88,Pasta,0
75,0.25,0.77,11.75,4.12,Pasta,0
80,0.2,0.96,9.24,5.38,Dessert,0
89,0.11,0.77,24.79,13.37,Meat,0
87,0.13,0.78,15.24,4.77,Salad,0
100,0.0,0.74,13.1,7.45,Pasta,0
83,0.17,0.72,5.1,2.08,Dessert,0
96,0.04,0.9,21.16,7.69,Fish,0
73,0.27,0.72,19.15,8.06,Salad,0
94,0.06,0.92,6.27,3.22,Dessert,0
96,0.04,0.97,10.57,4.07,Salad,0
100,0.0,0.69,19.19,5.81,Salad,0
91,0.09,0.88,22.4,7.13,Pasta,0
100,0.0,0.94,42.36,15.06,Fish,0
74,0.26,0.66,19.6,9.41,Pasta,0
90,0.1,0.68,15.92,5.83,Fish,0
100,0.0,0.76,8.9,5.22,Dessert,0
82,0.18,0.69,44.7,22.33,Meat,0
100,0.0,0.97,43.98,25.75,Meat,0
76,0.24,0.7,7.56,2.97,Dessert,0
84,0.16,0.93,7.13,3.67,Dessert,0
87,0.13,0.98,33.23,15.74,Meat,0
91,0.09,0.86,17.51,10.04,Salad,0
100,0.0,1.0,13.02,7.51,Pasta,0
100,0.0,0.68,20.84,11.95,Pasta,0
95,0.05,0.73,48.51,21.37,Fish,0
75,0.25,0.96,13.15,5.99,Salad,0
79,0.21,0.86,40.56,19.07,Fish,0
92,0.08,0.88,21.48,7.66,Meat,0
79,0.21,0.68,39.6,14.58,Fish,0
91,0.09,0.84,17.86,7.91,Meat,0
94,0.06,0.71,32.37,16.05,Fish,0
68,0.32,1.0,23.76,12.84,Pasta,0
66,0.34,1.0,41.8,22.28,Meat,0
71,0.29,0.94,15.41,5.17,Salad,0
94,0.06,0.91,16.6,6.19,Meat,0
99,0.01,0.95,12.79,6.84,Salad,0
81,0.19,0.88,31.1,17.1,Meat,0
84,0.16,0.8,8.58,4.97,Dessert,0
93,0.07,0.89,34.68,19.4,Fish,0
71,0.29,0.99,32.13,18.16,Fish,0
98,0.02,0.97,20.89,11.35,Fish,0
92,0.08,0.88,14.93,8.91,Salad,0
73,0.27,0.87,15.82,7.88,Pasta,0
64,0.36,0.91,16.28,7.43,Salad,0
76,0.24,0.95,17.24,6.06,Salad,0
76,0.24,0.99,6.79,2.78,Dessert,0
100,0.0,0.77,32.17,16.6,Fish,0
100,0.0,0.91,35.04,13.8,Meat,0
100,0.0,0.71,31.23,10.81,Fish,0
70,0.3,0.8,9.8,5.22,Dessert,0
82,0.18,0.66,11.31,4.45,Salad,0
62,0.38,0.83,19.58,6.58,Salad,0
93,0.07,0.84,32.25,11.35,Fish,0
95,0.05,0.68,5.98,3.56,Dessert,0
94,0.06,0.87,7.29,4.24,Dessert,0
88,0.12,0.71,9.22,3.78,Dessert,0
74,0.26,0.99,43.01,18.62,Meat,0
100,0.0,0.8,8.13,3.4,Dessert,0
89,0.11,0.93,15.44,7.11,Salad,0
82,0.18,0.95,12.13,6.56,Salad,0
90,0.1,0.85,22.69,10.54,Pasta,0
77,0.23,0.87,10.0,5.47,Salad,0
100,0.0,0.97,38.72,18.77,Meat,0
89,0.11,0.88,46.29,19.0,Fish,0
100,0.0,0.71,22.84,10.35,Meat,0
88,0.12,0.72,36.08,20.91,Fish,0
49,0.51,0.89,45.89,15.9,Fish,0
99,0.01,0.87,30.7,15.19,Fish,0
92,0.08,0.68,14.02,5.42,Salad,0
100,0.0,0.73,15.08,4.82,Salad,0
66,0.34,0.92,21.54,11.6,Fish,0
95,0.05,0.84,35.8,19.91,Meat,0
78,0.22,0.81,48.38,14.52,Fish,0
77,0.23,0.78,28.77,14.23,Meat,0
96,0.04,0.65,12.24,5.81,Salad,0
93,0.07,0.73,11.31,5.63,Salad,0
100,0.0,0.94,19.01,11.28,Salad,0
83,0.17,0.72,27.91,10.01,Fish,0
100,0.0,0.83,34.62,14.21,Fish,0
99,0.01,0.89,25.98,9.95,Meat,0
73,0.27,0.75,14.01,6.9,Salad,0
77,0.23,0.77,8.39,2.88,Dessert,0
74,0.26,0.88,23.59,13.68,Pasta,0
87,0.13,0.95,20.9,7.74,Pasta,0
100,0.0,0.76,7.65,4.58,Dessert,0
69,0.31,0.68,13.36,7.92,Fish,0
78,0.22,0.77,16.91,8.21,Salad,0
72,0.28,1.0,24.05,12.84,Meat,0
91,0.09,0.99,20.6,9.2,Pasta,0
100,0.0,0.81,7.94,3.22,Dessert,0
76,0.24,0.96,48.38,17.17,Fish,0
81,0.19,0.71,47.84,15.95,Fish,0
90,0.1,0.8,7.91,3.1,Dessert,0
96,0.04,0.81,39.25,18.78,Meat,0
100,0.0,0.89,18.6,8.98,Pasta,0
100,0.0,0.92,16.19,7.44,Salad,0
79,0.21,0.93,9.21,3.7,Dessert,0
87,0.13,0.69,29.29,15.75,Meat,0
89,0.11,0.77,44.02,25.14,Meat,0
95,0.05,0.84,15.67,6.9,Salad,0
100,0.0,0.89,9.22,3.29,Dessert,0
83,0.17,0.97,6.88,4.05,Dessert,0
91,0.09,0.8,5.26,2.33,Dessert,0
100,0.0,0.65,19.48,11.36,Salad,0
71,0.29,0.67,44.17,21.06,Meat,0
99,0.01,0.76,10.62,6.22,Pasta,0
97,0.03,0.94,19.0,10.3,Fish,0
100,0.0,0.68,11.11,3.41,Salad,0
93,0.07,0.88,5.75,3.19,Dessert,0
100,0.0,0.98,17.92,7.35,Pasta,0
100,0.0,0.98,25.35,15.13,Fish,0
67,0.33,0.81,18.97,11.37,Salad,0
74,0.26,0.71,41.05,15.8,Meat,0
100,0.0,0.76,19.26,11.25,Meat,0
77,0.23,0.7,32.42,12.72,Meat,0
82,0.18,0.81,8.41,4.01,Dessert,0
99,0.01,0.98,13.85,7.07,Salad,0
70,0.3,0.91,19.25,5.97,Pasta,0
74,0.26,0.98,9.54,5.04,Dessert,0
89,0.11,0.88,14.06,6.42,Salad,0
100,0.0,0.85,18.82,9.96,Salad,0
100,0.0,0.78,11.02,5.03,Salad,0
52,0.48,0.76,28.82,15.69,Fish,0
100,0.0,0.93,11.14,4.77,Pasta,0
98,0.02,0.9,33.62,10.23,Fish,0
89,0.11,0.7,23.07,10.28,Pasta,0
85,0.15,0.74,5.36,2.41,Dessert,0
100,0.0,0.99,32.03,13.35,Meat,0
58,0.42,0.89,15.0,8.44,Fish,0
78,0.22,0.94,19.5,10.33,Fish,0
89,0.11,0.78,6.89,3.65,Dessert,0
96,0.04,0.66,25.17,9.18,Meat,0
82,0.18,0.95,6.04,3.33,Dessert,0
78,0.22,0.77,16.69,9.26,Salad,0
91,0.09,0.8,18.12,9.81,Pasta,0
99,0.01,0.92,9.34,5.06,Dessert,0
100,0.0,0.65,17.75,5.7,Salad,0
100,0.0,0.91,10.67,5.34,Salad,0
80,0.2,0.94,18.36,9.53,Salad,0
97,0.03,0.94,46.8,25.35,Meat,0
90,0.1,0.72,31.5,13.27,Meat,0
100,0.0,0.89,24.41,14.6,Fish,0
81,0.19,0.89,23.68,10.5,Pasta,0
87,0.13,0.93,19.83,9.07,Fish,0
82,0.18,0.82,31.26,11.12,Meat,0
81,0.19,0.9,5.43,2.66,Dessert,0
96,0.04,0.71,19.14,9.8,Salad,0
87,0.13,0.78,49.02,18.52,Meat,0
99,0.01,0.92,48.07,19.89,Meat,0
65,0.35,0.77,30.57,11.28,Fish,0
82,0.18,0.99,9.4,4.88,Dessert,0
100,0.0,0.91,49.58,21.87,Meat,0
83,0.17,0.82,17.92,10.15,Salad,0
100,0.0,0.97,26.81,10.58,Meat,0
92,0.08,0.83,8.08,4.51,Dessert,0
70,0.3,0.73,18.31,10.2,Meat,0
100,0.0,0.73,6.7,3.94,Dessert,0
100,0.0,0.81,13.74,4.64,Salad,0
100,0.0,0.95,20.79,12.02,Meat,0
99,0.01,0.8,17.32,9.69,Meat,0
100,0.0,0.79,37.61,13.54,Fish,0
69,0.31,0.92,8.51,3.11,Dessert,0
78,0.22,0.73,13.91,7.21,Salad,0
98,0.02,0.85,6.39,2.81,Dessert,0
100,0.0,0.75,30.71,11.82,Meat,0
75,0.25,0.95,31.57,16.81,Meat,0
87,0.13,0.96,16.05,9.23,Salad,0
89,0.11,0.76,11.03,5.36,Salad,0
100,0.0,0.81,5.71,1.77,Dessert,0
87,0.13,0.87,16.19,6.43,Salad,0
100,0.0,0.86,9.94,3.06,Dessert,0
73,0.27,0.82,10.77,4.73,Salad,0
100,0.0,0.84,39.58,22.72,Meat,0
100,0.0,0.67,23.41,8.97,Fish,0
69,0.31,0.92,21.7,10.99,Meat,0
100,0.0,0.9,18.07,10.41,Meat,0
88,0.12,0.84,32.87,18.16,Meat,0
70,0.3,0.92,21.47,8.74,Meat,0
89,0.11,0.73,10.32,4.72,Pasta,0
78,0.22,0.93,11.12,3.57,Salad,0
78,0.22,0.83,11.22,3.46,Salad,0
99,0.01,0.98,7.28,2.53,Dessert,0
72,0.28,0.72,22.75,13.01,Pasta,0
81,0.19,0.95,14.61,8.53,Salad,0
85,0.15,0.65,15.57,5.13,Meat,0
90,0.1,0.88,21.12,8.29,Meat,0
97,0.03,0.94,36.4,14.89,Fish,0
67,0.33,0.84,6.21,3.59,Dessert,0
100,0.0,0.92,11.9,6.04,Salad,0
96,0.04,0.8,23.16,11.58,Pasta,0
100,0.0,0.66,13.2,5.57,Pasta,0
83,0.17,0.76,22.97,12.08,Pasta,0
93,0.07,0.93,8.47,3.02,Dessert,0
100,0.0,0.68,8.43,4.94,Dessert,0
57,0.43,0.95,8.23,3.71,Dessert,0
93,0.07,0.72,28.78,12.02,Meat,0
75,0.25,0.69,17.24,7.08,Pasta,0
97,0.03,0.68,14.81,5.35,Salad,0
88,0.12,0.97,27.76,11.49,Fish,0
71,0.29,0.87,18.12,6.18,Pasta,0
100,0.0,0.87,46.82,16.08,Fish,0
80,0.2,0.91,9.85,4.18,Dessert,0
67,0.33,0.93,32.47,12.04,Meat,0
75,0.25,0.67,16.47,5.22,Salad,0
100,0.0,0.96,46.47,15.96,Fish,0
100,0.0,0.96,15.55,5.36,Pasta,0
92,0.08,0.72,26.42,12.92,Fish,0
97,0.03,0.77,33.14,19.09,Meat,0
79,0.21,0.79,19.34,10.49,Salad,0
100,0.0,0.82,17.97,10.61,Salad,0
100,0.0,0.66,12.49,7.42,Fish,0
95,0.05,0.82,19.27,6.01,Meat,0
83,0.17,0.71,15.18,6.93,Pasta,0
88,0.12,0.97,19.83,9.17,Pasta,0
79,0.21,0.87,17.64,10.14,Salad,0
100,0.0,0.83,19.3,7.69,Salad,0
93,0.07,0.78,16.68,9.88,Pasta,0
97,0.03,0.85,34.39,15.95,Fish,0
85,0.15,0.92,12.58,7.28,Salad,0
90,0.1,0.96,41.8,18.51,Fish,0
98,0.02,0.85,14.69,8.6,Salad,0
74,0.26,0.76,49.75,18.21,Fish,0
82,0.18,0.93,7.22,2.87,Dessert,0
70,0.3,0.9,37.78,22.54,Meat,0
100,0.0,0.95,17.83,5.73,Salad,0
99,0.01,0.79,9.83,4.34,Dessert,0
91,0.09,0.9,5.31,2.28,Dessert,0
90,0.1,0.91,12.17,5.46,Fish,0
93,0.07,0.81,10.06,5.8,Pasta,0
98,0.02,0.72,17.46,8.97,Meat,0
100,0.0,0.88,31.27,9.58,Fish,0
100,0.0,0.9,17.97,8.03,Salad,0
79,0.21,0.99,12.93,4.3,Salad,0
100,0.0,0.72,19.71,7.61,Salad,0
85,0.15,0.7,20.62,8.24,Pasta,0
68,0.32,0.69,18.12,8.07,Salad,0
96,0.04,0.98,5.62,2.08,Dessert,0
65,0.35,0.71,15.09,5.72,Salad,0
74,0.26,0.86,12.26,7.15,Salad,0
87,0.13,0.84,5.13,2.99,Dessert,0
100,0.0,0.88,26.27,8.46,Fish,0
100,0.0,0.72,13.68,7.88,Pasta,0
82,0.18,0.87,7.18,3.48,Dessert,0
100,0.0,0.76,24.28,13.19,Meat,0
78,0.22,0.91,15.04,7.17,Pasta,0
91,0.09,0.83,17.04,8.44,Pasta,0
100,0.0,0.73,20.46,10.54,Meat,0
61,0.39,0.83,10.62,4.55,Pasta,0
100,0.0,0.73,43.66,19.48,Fish,0
87,0.13,0.66,21.07,8.85,Pasta,0
87,0.13,0.7,15.07,7.58,Salad,0
100,0.0,0.73,12.88,6.24,Salad,0
70,0.3,0.83,5.69,1.99,Dessert,0
94,0.06,0.65,32.73,14.33,Meat,0
100,0.0,0.67,7.37,2.62,Dessert,0
96,0.04,0.88,8.15,3.54,Dessert,0
100,0.0,0.95,42.0,21.02,Fish,0
94,0.06,0.8,6.67,2.55,Dessert,0
81,0.19,0.97,35.85,17.58,Fish,0
79,0.21,0.68,18.94,8.14,Fish,0
68,0.32,0.74,18.27,7.36,Fish,0
100,0.0,0.89,17.32,8.7,Fish,0
66,0.34,0.67,44.05,19.41,Fish,0
96,0.04,0.76,16.19,5.45,Salad,0
94,0.06,0.75,23.11,7.28,Pasta,0
85,0.15,0.74,9.12,4.22,Dessert,0
100,0.0,0.88,29.78,15.24,Fish,0
100,0.0,0.7,30.69,13.43,Meat,0
88,0.12,0.9,8.67,4.02,Dessert,0
82,0.18,0.99,28.23,14.85,Meat,0
87,0.13,0.95,23.05,10.92,Pasta,0
75,0.25,0.9,20.67,11.86,Meat,0
82,0.18,0.76,12.2,5.28,Fish,0
90,0.1,0.86,49.09,23.04,Fish,0
98,0.02,0.97,19.43,11.23,Meat,0
99,0.01,0.74,18.29,9.53,Pasta,0
84,0.16,0.98,24.02,7.82,Meat,0
81,0.19,0.9,30.67,15.29,Meat,0
100,0.0,0.97,46.14,20.63,Meat,0
87,0.13,0.66,7.54,3.61,Dessert,0
84,0.16,0.79,36.1,21.63,Fish,0
100,0.0,0.73,12.31,6.97,Pasta,0
100,0.0,0.84,17.04,9.53,Salad,0
85,0.15,0.94,5.6,2.8,Dessert,0
100,0.0,0.88,20.27,7.75,Meat,0
91,0.09,0.77,39.12,14.64,Fish,0
100,0.0,0.67,6.59,2.28,Dessert,0
97,0.03,0.93,32.99,12.72,Fish,0
100,0.0,0.9,8.88,5.23,Dessert,0
75,0.25,0.89,31.17,15.7,Meat,0
91,0.09,0.66,23.3,11.51,Pasta,0
100,0.0,0.82,39.98,13.45,Meat,0
77,0.23,0.93,31.3,14.66,Fish,0
91,0.09,0.73,19.01,9.43,Salad,0
64,0.36,0.73,15.53,6.36,Pasta,0
98,0.02,0.88,28.34,8.68,Fish,0
81,0.19,0.74,29.45,9.97,Fish,0
100,0.0,0.65,37.08,13.03,Meat,0
79,0.21,0.72,42.65,23.68,Meat,0
82,0.18,0.99,49.51,14.93,Fish,0
95,0.05,0.89,15.65,6.47,Pasta,0
93,0.07,0.74,9.51,4.74,Dessert,0
86,0.14,0.84,19.51,9.13,Pasta,0
79,0.21,0.86,13.98,8.14,Salad,0
96,0.04,0.82,5.83,3.25,Dessert,0
100,0.0,0.79,23.32,11.59,Pasta,0
88,0.12,0.76,6.53,3.38,Dessert,0
98,0.02,0.7,11.99,3.85,Pasta,0
78,0.22,0.89,33.28,10.95,Fish,0
93,0.07,0.94,19.67,8.18,Salad,0
96,0.04,0.73,13.15,7.52,Fish,0
100,0.0,0.9,16.1,7.73,Pasta,0
77,0.23,0.92,9.2,3.61,Dessert,0
100,0.0,0.7,14.25,8.29,Salad,0
73,0.27,0.92,26.13,8.72,Fish,0
99,0.01,0.71,15.1,5.87,Salad,0
99,0.01,0.66,6.74,2.96,Dessert,0
63,0.37,0.67,46.56,24.3,Fish,0
100,0.0,0.93,17.67,8.02,Pasta,0
90,0.1,0.91,47.48,16.01,Meat,0
100,0.0,0.96,38.71,19.49,Fish,0
88,0.12,0.8,26.5,12.28,Meat,0
100,0.0,0.81,20.84,11.56,Fish,0
100,0.0,0.94,12.84,5.83,Salad,0
87,0.13,0.89,7.5,3.69,Dessert,0
78,0.22,0.67,10.61,3.31,Pasta,0
58,0.42,0.89,18.46,8.19,Salad,0
75,0.25,0.7,6.91,2.24,Dessert,0
95,0.05,0.88,30.78,11.94,Meat,0
79,0.21,0.9,6.73,3.64,Dessert,0
86,0.14,0.82,24.9,11.99,Meat,0
100,0.0,0.72,21.33,11.67,Meat,0
50,0.5,0.68,19.17,9.34,Salad,0
95,0.05,0.73,24.42,12.81,Fish,0
79,0.21,0.69,19.63,9.31,Salad,0
100,0.0,0.76,23.61,11.81,Meat,0
100,0.0,0.69,19.45,8.81,Salad,0
84,0.16,0.92,45.05,16.98,Fish,0
94,0.06,0.92,24.6,8.96,Fish,0
67,0.33,0.84,41.11,22.4,Meat,0
89,0.11,0.74,11.55,6.21,Pasta,0
100,0.0,0.9,13.24,6.41,Pasta,0
85,0.15,0.69,24.73,14.62,Fish,0
100,0.0,0.99,30.4,14.41,Fish,0
100,0.0,0.94,15.59,6.02,Salad,0
80,0.2,0.71,18.55,7.71,Salad,0
95,0.05,0.78,11.91,4.29,Salad,0
100,0.0,0.82,28.2,10.29,Fish,0
72,0.28,0.99,9.04,4.02,Dessert,0
100,0.0,0.71,8.19,3.67,Dessert,0
